,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Close Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,221,220,220,220,221,220,220,220,221,220,220,220,274,277,281,286,,,,,,,,,,,,,,,,,,,,,
Driving Layup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,221,220,220,220,221,220,220,220,221,220,220,220,221,257,254,,,,,,,,,,,,,,,,,,,,,,,
Driving Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,304,304,305,304,304,304,304,304,304,305,304,304,304,304,312,304,305,304,,,,,,,,,,,,,,,,,,,,
Standing Dunk,,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Control,,33,32,33,32,33,32,33,33,32,33,32,33,32,33,32,33,33,32,33,32,33,32,33,33,32,33,32,33,32,33,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Range Shot,,,,,,,,,,,,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Point Shot,,,,,,,,,,,,,,,,,,,,,,337,336,337,337,337,336,337,337,336,337,337,336,337,337,337,336,337,337,336,337,337,337,336,337,337,336,337,337,336,414,420,425,433,,,,,,,,,,,,,,,,,,,,,
Free Throw,,,,,,,,,,,,41,42,41,42,41,41,42,41,42,41,41,42,41,42,41,41,42,41,42,41,41,42,41,42,41,41,42,41,42,41,41,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pass Accuracy,,220,220,221,220,220,220,221,220,220,220,221,220,220,220,221,220,220,220,221,220,220,220,220,221,220,220,220,221,220,220,220,221,220,220,220,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Handle,,,,,,,,,,,,,,,,,,,,,,,,,162,161,162,162,162,161,162,162,162,161,161,162,161,162,162,162,161,162,162,162,161,162,162,161,162,162,200,204,206,210,212,309,317,327,335,424,1041,1069,,,,,,,,,,,,,
Speed With Ball,,,,,,,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,129,130,130,130,129,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Defense,,,,,,,,,,,,,,,,,,,,,,,,,291,292,291,292,291,292,291,292,291,291,292,291,292,291,292,291,292,291,291,292,291,292,291,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perimeter Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,446,555,564,571,580,587,851,874,896,918,940,1222,1254,1286,1319,1349,1759,1801,1842,1882,,,,,,
Steal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,467,580,588,597,605,613,888,912,935,958,980,1273,1308,1340,1373,1405,1831,1873,1915,1956,1997,5906,5888,,,
Block,,,,,291,292,291,292,291,292,291,292,291,291,292,291,292,291,292,291,292,291,291,292,291,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offensive Rebounding,,97,97,97,98,97,97,97,97,97,97,98,97,97,97,97,97,98,97,97,97,97,97,97,98,97,97,97,97,97,97,98,97,97,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,370,369,369,369,370,369,369,369,370,369,369,370,369,456,464,469,477,484,697,716,736,,,,,,,,,,,,,,,,,
Agility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,446,447,446,447,446,447,446,447,447,446,552,560,568,577,584,841,864,887,,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,337,336,337,337,337,336,337,337,336,337,337,336,337,337,337,336,337,337,336,337,337,337,336,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical,,,,,,,,,,,,,,,,,,,,,,330,330,300,330,330,330,331,330,330,330,330,330,330,330,330,330,330,330,331,330,330,330,330,330,330,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
