,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Close Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,244,245,244,245,245,244,245,244,245,245,244,245,303,308,313,317,,,,,,,,,,,,,,,,,,,,,
Driving Layup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,323,324,323,324,323,324,324,323,324,323,324,323,324,377,374,,,,,,,,,,,,,,,,,,,,,,,
Driving Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,410,795,817,827,861,870,1256,1292,1328,1363,1398,2135,2172,2221,2285,2317,3271,3322,,,
Standing Dunk,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Control,,,288,287,288,288,287,288,288,287,288,288,287,288,288,287,288,288,287,288,288,287,288,288,288,287,288,288,287,288,288,287,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Range Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,509,516,523,531,770,791,812,831,852,1109,1140,1169,1198,1229,1603,1642,1681,1720,,,,,,
Three Point Shot,,,,,,,395,396,395,395,396,395,395,396,395,395,396,395,395,396,395,396,395,395,396,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Throw,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,41,42,41,41,42,41,42,41,42,41,41,42,41,42,41,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pass Accuracy,309,309,310,309,309,309,309,310,309,309,309,309,310,309,309,309,310,309,309,309,309,310,309,309,309,309,309,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,395,396,395,395,396,395,395,396,395,395,396,395,395,396,395,396,395,395,396,395,395,396,395,395,486,493,500,,,,,,,,,,,,,,,,,,,,,,
Speed With Ball,,,,,,,338,338,338,338,338,338,337,338,338,338,338,338,338,338,338,338,338,338,338,337,338,338,338,338,338,338,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Defense,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perimeter Defense,,,230,231,230,230,230,231,230,230,230,230,231,230,230,231,230,230,230,231,231,231,231,231,230,230,230,231,274,344,344,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steal,,,129,129,130,129,129,129,129,130,129,129,129,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,,65,64,65,64,65,65,64,65,64,65,65,64,65,64,65,65,64,69,333,333,333,333,332,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offensive Rebounding,,,29,28,29,29,29,28,29,29,28,29,29,29,28,29,29,28,29,29,29,28,29,29,28,29,29,29,28,29,29,28,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,144,143,144,143,144,143,144,143,144,144,143,144,143,144,143,144,144,143,144,143,144,143,144,143,144,144,143,144,143,243,250,256,262,270,,,,,,,,,,,,,,,
Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,402,403,402,403,402,403,402,403,402,403,402,403,402,403,402,403,402,496,504,510,518,526,754,776,796,816,837,1084,1115,,,,,,,,,,,,,
Agility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,266,266,267,266,266,266,266,331,335,341,345,351,508,523,238,551,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,396,395,395,396,395,395,396,395,395,396,395,395,489,496,503,510,518,746,766,787,806,827,1073,1102,1133,1161,1191,1552,1591,1630,,,,,,,
Vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,353,352,352,352,353,352,352,353,597,612,627,642,657,915,942,956,993,1019,1327,1361,1409,1430,1464,4401,,,,
